
Scan Time:     2014-12-07 13:56:13
Target File:   J180ND2H.F4
MD5 Checksum:  26e8d41213d7ecbe5ea671fc5868462e

DECIMAL       HEXADECIMAL     ENTROPY
--------------------------------------------------------------------------------
817152        0xC7800         0.000000
818176        0xC7C00         0.000000
819200        0xC8000         0.000000
820224        0xC8400         0.000000
821248        0xC8800         0.000000
822272        0xC8C00         0.000000
823296        0xC9000         0.000000
824320        0xC9400         0.000000
825344        0xC9800         0.000000
826368        0xC9C00         0.000000
827392        0xCA000         0.000000
828416        0xCA400         0.000000
829440        0xCA800         0.000000
830464        0xCAC00         0.000000
831488        0xCB000         0.000000
832512        0xCB400         0.000000
833536        0xCB800         0.000000
834560        0xCBC00         0.000000
835584        0xCC000         0.000000
836608        0xCC400         0.000000
837632        0xCC800         0.000000
838656        0xCCC00         0.000000
839680        0xCD000         0.000000
840704        0xCD400         0.000000
841728        0xCD800         0.000000
842752        0xCDC00         0.000000
843776        0xCE000         0.000000
844800        0xCE400         0.000000
845824        0xCE800         0.000000
846848        0xCEC00         0.000000
847872        0xCF000         0.000000
848896        0xCF400         0.000000
849920        0xCF800         0.000000
850944        0xCFC00         0.000000
851968        0xD0000         0.000000
852992        0xD0400         0.000000
854016        0xD0800         0.000000
855040        0xD0C00         0.000000
856064        0xD1000         0.000000
857088        0xD1400         0.000000
858112        0xD1800         0.000000
859136        0xD1C00         0.000000
860160        0xD2000         0.000000
861184        0xD2400         0.000000
862208        0xD2800         0.000000
863232        0xD2C00         0.000000
864256        0xD3000         0.000000
865280        0xD3400         0.000000
866304        0xD3800         0.000000
867328        0xD3C00         0.000000
868352        0xD4000         0.000000
869376        0xD4400         0.000000
870400        0xD4800         0.000000
871424        0xD4C00         0.000000
872448        0xD5000         0.000000
873472        0xD5400         0.000000
874496        0xD5800         0.000000
875520        0xD5C00         0.000000
876544        0xD6000         0.000000
877568        0xD6400         0.000000
878592        0xD6800         0.000000
879616        0xD6C00         0.000000
880640        0xD7000         0.000000
881664        0xD7400         0.000000
882688        0xD7800         0.000000
883712        0xD7C00         0.000000
884736        0xD8000         0.000000
885760        0xD8400         0.000000
886784        0xD8800         0.000000
887808        0xD8C00         0.000000
888832        0xD9000         0.000000
889856        0xD9400         0.000000
890880        0xD9800         0.000000
891904        0xD9C00         0.000000
892928        0xDA000         0.000000
893952        0xDA400         0.000000
894976        0xDA800         0.000000
896000        0xDAC00         0.000000
897024        0xDB000         0.000000
898048        0xDB400         0.000000
899072        0xDB800         0.000000
900096        0xDBC00         0.000000
901120        0xDC000         0.000000
902144        0xDC400         0.000000
903168        0xDC800         0.000000
904192        0xDCC00         0.000000
905216        0xDD000         0.000000
906240        0xDD400         0.000000
907264        0xDD800         0.000000
908288        0xDDC00         0.000000
909312        0xDE000         0.777181
910336        0xDE400         0.494828
911360        0xDE800         0.105587
912384        0xDEC00         0.000000
913408        0xDF000         0.971942
914432        0xDF400         0.254273
915456        0xDF800         0.000000
916480        0xDFC00         0.000000
917504        0xE0000         0.974147
918528        0xE0400         0.974570
919552        0xE0800         0.974810
920576        0xE0C00         0.973844
921600        0xE1000         0.976267
922624        0xE1400         0.974441
923648        0xE1800         0.975294
924672        0xE1C00         0.975032
925696        0xE2000         0.972531
926720        0xE2400         0.976088
927744        0xE2800         0.974157
928768        0xE2C00         0.976536
929792        0xE3000         0.960168
930816        0xE3400         0.000000
931840        0xE3800         0.000000
932864        0xE3C00         0.000000
933888        0xE4000         0.971248
934912        0xE4400         0.974236
935936        0xE4800         0.977621
936960        0xE4C00         0.975714
937984        0xE5000         0.977150
939008        0xE5400         0.978840
940032        0xE5800         0.976458
941056        0xE5C00         0.974841
942080        0xE6000         0.977537
943104        0xE6400         0.973686
944128        0xE6800         0.979197
945152        0xE6C00         0.976042
946176        0xE7000         0.974140
947200        0xE7400         0.974528
948224        0xE7800         0.979412
949248        0xE7C00         0.977375
950272        0xE8000         0.975712
951296        0xE8400         0.974690
952320        0xE8800         0.974869
953344        0xE8C00         0.974124
954368        0xE9000         0.977014
955392        0xE9400         0.975310
956416        0xE9800         0.978450
957440        0xE9C00         0.974352
958464        0xEA000         0.976995
959488        0xEA400         0.977117
960512        0xEA800         0.975707
961536        0xEAC00         0.975127
962560        0xEB000         0.978087
963584        0xEB400         0.975168
964608        0xEB800         0.974651
965632        0xEBC00         0.977185
966656        0xEC000         0.977753
967680        0xEC400         0.972863
968704        0xEC800         0.975164
969728        0xECC00         0.976029
970752        0xED000         0.974744
971776        0xED400         0.979650
972800        0xED800         0.975831
973824        0xEDC00         0.975902
974848        0xEE000         0.978090
975872        0xEE400         0.972163
976896        0xEE800         0.975571
977920        0xEEC00         0.976922
978944        0xEF000         0.974464
979968        0xEF400         0.975416
980992        0xEF800         0.355047
982016        0xEFC00         0.000000
983040        0xF0000         0.973521
984064        0xF0400         0.976307
985088        0xF0800         0.970472
986112        0xF0C00         0.973964
987136        0xF1000         0.979060
988160        0xF1400         0.284841
989184        0xF1800         0.000000
990208        0xF1C00         0.000000
991232        0xF2000         0.969043
992256        0xF2400         0.976710
993280        0xF2800         0.978421
994304        0xF2C00         0.977140
995328        0xF3000         0.971337
996352        0xF3400         0.973074
997376        0xF3800         0.974398
998400        0xF3C00         0.977119
999424        0xF4000         0.979565
1000448       0xF4400         0.977440
1001472       0xF4800         0.431593
1002496       0xF4C00         0.000000
1003520       0xF5000         0.972172
1004544       0xF5400         0.977778
